-0.134090060000000	-0.266097610000000	-0.392542240000000	-0.520405830000000	-0.648913590000000	-0.775738190000000	-0.903590830000000	-1.02821963000000	-1.06765867000000	-1.02027781000000	-0.973771970000000	-0.920880240000000	-0.867161780000000	-0.753764980000000	-0.639899510000000	-0.475922540000000
-0.124072410000000	-0.246112090000000	-0.362707700000000	-0.481079670000000	-0.600084710000000	-0.717449120000000	-0.835822740000000	-0.951425190000000	-0.990359100000000	-0.950036410000000	-0.908008300000000	-0.859307590000000	-0.809277320000000	-0.699828570000000	-0.589083140000000	-0.428164240000000
-0.114972490000000	-0.227963870000000	-0.336380360000000	-0.446165490000000	-0.556573240000000	-0.665381440000000	-0.775180150000000	-0.882643750000000	-0.920346160000000	-0.885430340000000	-0.847003820000000	-0.801563190000000	-0.754008990000000	-0.648251010000000	-0.540013220000000	-0.381511440000000
-0.106742540000000	-0.211913810000000	-0.312625360000000	-0.413949440000000	-0.516610740000000	-0.618433360000000	-0.720145290000000	-0.820300180000000	-0.856572310000000	-0.825302600000000	-0.790462570000000	-0.747436160000000	-0.701012880000000	-0.598766730000000	-0.492567970000000	-0.335728540000000
-0.0990216100000000	-0.196868550000000	-0.290372330000000	-0.385182250000000	-0.480941150000000	-0.575184850000000	-0.670374810000000	-0.763000560000000	-0.798340650000000	-0.769846150000000	-0.737060160000000	-0.695907980000000	-0.650923450000000	-0.551141950000000	-0.446581680000000	-0.291062690000000
-0.0924738500000000	-0.183124110000000	-0.270584230000000	-0.358626580000000	-0.448280730000000	-0.535776620000000	-0.624538790000000	-0.711151320000000	-0.744474730000000	-0.718450510000000	-0.687215920000000	-0.647143010000000	-0.602889310000000	-0.505228120000000	-0.401766170000000	-0.246944620000000
-0.0860395500000000	-0.170975790000000	-0.252151950000000	-0.334562080000000	-0.417537650000000	-0.499419320000000	-0.582195710000000	-0.662888260000000	-0.694506160000000	-0.670097510000000	-0.639900470000000	-0.600707790000000	-0.556902570000000	-0.460894350000000	-0.357897960000000	-0.203492150000000
-0.0800559800000000	-0.159367770000000	-0.235362520000000	-0.311908470000000	-0.389644940000000	-0.466001920000000	-0.542905110000000	-0.618432880000000	-0.647576530000000	-0.624631960000000	-0.595005920000000	-0.556515410000000	-0.512719030000000	-0.417814690000000	-0.315252510000000	-0.160564730000000
-0.0748120700000000	-0.148592890000000	-0.219171420000000	-0.291214020000000	-0.363164750000000	-0.434404220000000	-0.506480910000000	-0.576919500000000	-0.604233130000000	-0.581628830000000	-0.552629970000000	-0.514083800000000	-0.469988630000000	-0.375884580000000	-0.273221240000000	-0.118001940000000
-0.0696586800000000	-0.138625690000000	-0.204505550000000	-0.271199400000000	-0.338698670000000	-0.405213680000000	-0.472238010000000	-0.537981100000000	-0.563099100000000	-0.540970740000000	-0.511698100000000	-0.473192400000000	-0.428799370000000	-0.335010820000000	-0.231934240000000	-0.0757380200000000
-0.0648962200000000	-0.129127370000000	-0.190679500000000	-0.253011550000000	-0.315545820000000	-0.377704000000000	-0.440351350000000	-0.501483870000000	-0.524362160000000	-0.502252620000000	-0.472727520000000	-0.433908300000000	-0.388656810000000	-0.294944730000000	-0.191125300000000	-0.0336273700000000
-0.0604984700000000	-0.120082690000000	-0.177378610000000	-0.235689530000000	-0.293920540000000	-0.351519550000000	-0.410130690000000	-0.467012330000000	-0.487632850000000	-0.465166680000000	-0.435238000000000	-0.395744640000000	-0.349790470000000	-0.255722670000000	-0.150975500000000	0.00841190000000000
-0.0561763100000000	-0.112003470000000	-0.165117950000000	-0.218941660000000	-0.273470850000000	-0.327132550000000	-0.381235870000000	-0.434213720000000	-0.452782960000000	-0.429533890000000	-0.399099820000000	-0.358938380000000	-0.311789300000000	-0.217204790000000	-0.111056510000000	0.0504661900000000
-0.0521871900000000	-0.103789740000000	-0.153310550000000	-0.203253810000000	-0.253866100000000	-0.303651480000000	-0.354103200000000	-0.403234230000000	-0.419492740000000	-0.395557510000000	-0.364041150000000	-0.322883260000000	-0.274569720000000	-0.179126900000000	-0.0714463900000000	0.0926737600000000
-0.0485028600000000	-0.0962169300000000	-0.141949920000000	-0.188324570000000	-0.235088400000000	-0.281307270000000	-0.327916220000000	-0.373508780000000	-0.387586780000000	-0.362871260000000	-0.330125310000000	-0.287965740000000	-0.238155300000000	-0.141546800000000	-0.0319968100000000	0.135116020000000
-0.0448641000000000	-0.0887520800000000	-0.131222110000000	-0.174064420000000	-0.217276540000000	-0.259967470000000	-0.303026360000000	-0.345122710000000	-0.356628660000000	-0.331013300000000	-0.297097000000000	-0.253651400000000	-0.202236120000000	-0.104249980000000	0.00738484000000000	0.177950560000000
-0.0412791500000000	-0.0818495600000000	-0.120666000000000	-0.160248270000000	-0.200173880000000	-0.239398260000000	-0.278964980000000	-0.317625770000000	-0.326953880000000	-0.300099420000000	-0.264877420000000	-0.219901150000000	-0.166918940000000	-0.0672165900000000	0.0467914400000000	0.221054290000000
-0.0377564000000000	-0.0750429800000000	-0.110688360000000	-0.147044770000000	-0.183522840000000	-0.219537920000000	-0.255674460000000	-0.291350180000000	-0.298453560000000	-0.270043050000000	-0.233378740000000	-0.186846340000000	-0.131937640000000	-0.0303493800000000	0.0863168300000000	0.264908730000000
-0.0344837600000000	-0.0685250100000000	-0.101040060000000	-0.134034360000000	-0.167494350000000	-0.200340040000000	-0.233478570000000	-0.265822240000000	-0.270658680000000	-0.240911690000000	-0.202410490000000	-0.154203760000000	-0.0972554600000000	0.00644676000000000	0.126050870000000	0.309526240000000
