-0.0992591200000000	-0.187983490000000	-0.282065080000000	-0.374526960000000	-0.469238530000000	-0.558857310000000	-0.651498640000000	-0.742525080000000	-0.833097300000000	-0.922060830000000	-1.01249623000000	-1.10286350000000	-1.09966294000000	-1.06050595000000	-1.01919469000000	-0.976761210000000	-0.902819430000000	-0.861134810000000	-0.788023320000000	-0.715697500000000	-0.640604200000000	-0.516803470000000	-0.389555320000000
-0.0959306900000000	-0.181053190000000	-0.271477350000000	-0.360301800000000	-0.451353890000000	-0.536985270000000	-0.626372080000000	-0.714163420000000	-0.801124960000000	-0.886877100000000	-0.973706190000000	-1.06046809000000	-1.06190653000000	-1.02414146000000	-0.985229060000000	-0.945705960000000	-0.872186090000000	-0.831243300000000	-0.760124190000000	-0.688996490000000	-0.615982000000000	-0.492297320000000	-0.366467090000000
-0.0918636500000000	-0.173794820000000	-0.260971730000000	-0.346188550000000	-0.434367170000000	-0.516805950000000	-0.602582990000000	-0.687161630000000	-0.770919690000000	-0.853482580000000	-0.937111980000000	-1.02067612000000	-1.02331556000000	-0.988062320000000	-0.951199280000000	-0.913579200000000	-0.842416220000000	-0.802751420000000	-0.732968910000000	-0.662971670000000	-0.590456120000000	-0.468087550000000	-0.342947710000000
-0.0882101400000000	-0.167350310000000	-0.250928750000000	-0.333319320000000	-0.417890890000000	-0.497162380000000	-0.580109340000000	-0.661497970000000	-0.742077260000000	-0.821849250000000	-0.902303440000000	-0.982694370000000	-0.986498010000000	-0.953340350000000	-0.918131700000000	-0.882687600000000	-0.813512630000000	-0.774502500000000	-0.706294120000000	-0.637153940000000	-0.565521890000000	-0.444031380000000	-0.319535740000000
-0.0849609000000000	-0.161328770000000	-0.242083900000000	-0.321295540000000	-0.402663950000000	-0.479164590000000	-0.558929400000000	-0.637524850000000	-0.714951740000000	-0.791581470000000	-0.869623380000000	-0.946867580000000	-0.951067270000000	-0.920645520000000	-0.887008340000000	-0.852378180000000	-0.785723620000000	-0.747311290000000	-0.680092630000000	-0.611967560000000	-0.540954910000000	-0.420424450000000	-0.296439700000000
-0.0821053300000000	-0.155355370000000	-0.232941050000000	-0.309368620000000	-0.387928870000000	-0.461679370000000	-0.538655360000000	-0.614111820000000	-0.689144210000000	-0.763025520000000	-0.837940410000000	-0.912793810000000	-0.917357890000000	-0.888911660000000	-0.856478430000000	-0.823264550000000	-0.758176210000000	-0.720880570000000	-0.654818540000000	-0.587403930000000	-0.516920760000000	-0.397232040000000	-0.273442900000000
-0.0789083100000000	-0.149795880000000	-0.224965130000000	-0.298269000000000	-0.374040960000000	-0.445064070000000	-0.519273020000000	-0.591982310000000	-0.664634780000000	-0.735790000000000	-0.808324420000000	-0.880082470000000	-0.885338320000000	-0.858114730000000	-0.827499010000000	-0.795305440000000	-0.731994630000000	-0.694928250000000	-0.629750880000000	-0.563023950000000	-0.493045520000000	-0.374156370000000	-0.250715780000000
-0.0764568700000000	-0.144283440000000	-0.216694070000000	-0.287620590000000	-0.360983400000000	-0.429303620000000	-0.501124500000000	-0.571465540000000	-0.641041180000000	-0.709849630000000	-0.779311160000000	-0.849069850000000	-0.854631210000000	-0.828589890000000	-0.799394270000000	-0.767899960000000	-0.706015700000000	-0.669701560000000	-0.605342290000000	-0.539221960000000	-0.469682030000000	-0.351460030000000	-0.228126610000000
-0.0736677500000000	-0.139174060000000	-0.209203070000000	-0.277417760000000	-0.348034780000000	-0.414029940000000	-0.483128290000000	-0.551119340000000	-0.618353070000000	-0.684831670000000	-0.752304400000000	-0.819372480000000	-0.825211130000000	-0.800297580000000	-0.772153570000000	-0.741316090000000	-0.680802730000000	-0.644929220000000	-0.581551580000000	-0.515976760000000	-0.446611580000000	-0.328858440000000	-0.205619250000000
-0.0709054400000000	-0.134457230000000	-0.201774990000000	-0.267652330000000	-0.335896930000000	-0.399931400000000	-0.466336320000000	-0.531992020000000	-0.596902560000000	-0.661071730000000	-0.725874500000000	-0.790622940000000	-0.796713310000000	-0.772893750000000	-0.745449060000000	-0.715814860000000	-0.656582840000000	-0.620840690000000	-0.558155480000000	-0.492880610000000	-0.423843140000000	-0.306476750000000	-0.183306770000000
-0.0688566700000000	-0.129779260000000	-0.194757570000000	-0.258315500000000	-0.323865930000000	-0.385953050000000	-0.450030010000000	-0.513374710000000	-0.575982130000000	-0.637860470000000	-0.701041810000000	-0.763493790000000	-0.769458670000000	-0.746986890000000	-0.719890190000000	-0.690542880000000	-0.632560300000000	-0.597409200000000	-0.535141630000000	-0.470294140000000	-0.401348710000000	-0.284399960000000	-0.161051590000000
-0.0661410500000000	-0.125141950000000	-0.187800370000000	-0.249734220000000	-0.312957110000000	-0.372769030000000	-0.434541460000000	-0.495593110000000	-0.556254050000000	-0.616196850000000	-0.676754130000000	-0.737259190000000	-0.743416530000000	-0.721300440000000	-0.695128390000000	-0.666572380000000	-0.609235250000000	-0.573937980000000	-0.512490420000000	-0.447866380000000	-0.379126880000000	-0.262318200000000	-0.138900060000000
-0.0637901600000000	-0.120881820000000	-0.181576180000000	-0.240891420000000	-0.302142480000000	-0.359700330000000	-0.419852790000000	-0.478632750000000	-0.537029620000000	-0.595049790000000	-0.653674670000000	-0.711922600000000	-0.717602640000000	-0.696745780000000	-0.671153390000000	-0.642797580000000	-0.586341220000000	-0.551530220000000	-0.490200920000000	-0.425902710000000	-0.357158800000000	-0.240510100000000	-0.116876510000000
